"site_code","project_name","community_type","calendar_year","treatment_year","treatment","nutrients","light","carbon","water","other_manipulation","n","p","k","CO2","precip","temp","mow_clip","burn","herb_removal","management","other_trt","trt_details","successional","plant_mani","plant_trt","pulse","plot_mani","resource_mani","max_trt","public","factorial","trt_type"
"NWT","ATWE","0",2009,0,"c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,1,1,1,0,"control"
"NWT","ATWE","0",2009,0,"h",0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"temp"
"NWT","ATWE","0",2009,0,"hw",0,0,0,1,1,0,0,0,0,6,4.5,0,0,0,0,"0","0",0,0,0,0,2,1,1,1,0,"irr*temp"
"NWT","ATWE","0",2009,0,"w",0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"irr"
"NWT","ATWE","0",2010,1,"c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,1,1,1,0,"control"
"NWT","ATWE","0",2010,1,"h",0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"temp"
"NWT","ATWE","0",2010,1,"hw",0,0,0,1,1,0,0,0,0,6,4.5,0,0,0,0,"0","0",0,0,0,0,2,1,1,1,0,"irr*temp"
"NWT","ATWE","0",2010,1,"w",0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"irr"
"NWT","ATWE","0",2011,2,"c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,1,1,1,0,"control"
"NWT","ATWE","0",2011,2,"h",0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"temp"
"NWT","ATWE","0",2011,2,"hw",0,0,0,1,1,0,0,0,0,6,4.5,0,0,0,0,"0","0",0,0,0,0,2,1,1,1,0,"irr*temp"
"NWT","ATWE","0",2011,2,"w",0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"irr"
"NWT","ATWE","0",2012,3,"c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,1,1,1,0,"control"
"NWT","ATWE","0",2012,3,"h",0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"temp"
"NWT","ATWE","0",2012,3,"hw",0,0,0,1,1,0,0,0,0,6,4.5,0,0,0,0,"0","0",0,0,0,0,2,1,1,1,0,"irr*temp"
"NWT","ATWE","0",2012,3,"w",0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"irr"
"NWT","ATWE","0",2013,4,"c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,1,1,1,0,"control"
"NWT","ATWE","0",2013,4,"h",0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"temp"
"NWT","ATWE","0",2013,4,"hw",0,0,0,1,1,0,0,0,0,6,4.5,0,0,0,0,"0","0",0,0,0,0,2,1,1,1,0,"irr*temp"
"NWT","ATWE","0",2013,4,"w",0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,"0","0",0,0,0,0,1,1,1,1,0,"irr"
