"calendar_year","exp_unit","richness","Evar"
2007,"Alberta::CCD::0::1::CH+::2007",10,0.740610309193849
2008,"Alberta::CCD::0::1::CH+::2008",14,0.665527268262622
2009,"Alberta::CCD::0::1::CH+::2009",10,0.600178302360679
2007,"Alberta::CCD::0::10::WL+::2007",10,0.571854638447052
2008,"Alberta::CCD::0::10::WL+::2008",13,0.548596327976418
2009,"Alberta::CCD::0::10::WL+::2009",10,0.496753286920306
2007,"Alberta::CCD::0::11::WHA::2007",9,0.542819303365568
2008,"Alberta::CCD::0::11::WHA::2008",12,0.527772139862397
2009,"Alberta::CCD::0::11::WHA::2009",9,0.82972912015361
2007,"Alberta::CCD::0::12::WH+::2007",8,0.430248266575146
2008,"Alberta::CCD::0::12::WH+::2008",7,0.672849530080542
2009,"Alberta::CCD::0::12::WH+::2009",8,0.468180321123271
2007,"Alberta::CCD::0::13::CH-::2007",8,0.756375979534818
2008,"Alberta::CCD::0::13::CH-::2008",9,0.58033618857534
2009,"Alberta::CCD::0::13::CH-::2009",6,0.932286320469123
2007,"Alberta::CCD::0::14::CN+::2007",11,0.690212467769527
2008,"Alberta::CCD::0::14::CN+::2008",12,0.631758866626092
2009,"Alberta::CCD::0::14::CN+::2009",9,0.784719429966321
2007,"Alberta::CCD::0::15::CL-::2007",7,0.624143914932036
2008,"Alberta::CCD::0::15::CL-::2008",7,0.572345592092544
2009,"Alberta::CCD::0::15::CL-::2009",6,0.884783045181436
2007,"Alberta::CCD::0::16::CLA::2007",8,0.661211940878789
2008,"Alberta::CCD::0::16::CLA::2008",10,0.39730600047043
2009,"Alberta::CCD::0::16::CLA::2009",9,0.471001872269866
2007,"Alberta::CCD::0::17::CHA::2007",8,0.841563076471536
2008,"Alberta::CCD::0::17::CHA::2008",9,0.639554464909578
2009,"Alberta::CCD::0::17::CHA::2009",8,0.608191322990542
2007,"Alberta::CCD::0::18::CL+::2007",8,0.57213805674293
2008,"Alberta::CCD::0::18::CL+::2008",7,0.474037164205874
2009,"Alberta::CCD::0::18::CL+::2009",7,0.467101122436635
2007,"Alberta::CCD::0::19::WLA::2007",9,0.609409217834179
2008,"Alberta::CCD::0::19::WLA::2008",10,0.755808770658183
2009,"Alberta::CCD::0::19::WLA::2009",10,0.673715348318551
2007,"Alberta::CCD::0::2::WN+::2007",14,0.631680190150389
2008,"Alberta::CCD::0::2::WN+::2008",13,0.610526513092227
2009,"Alberta::CCD::0::2::WN+::2009",11,0.528428610804488
2007,"Alberta::CCD::0::20::WN-::2007",9,0.672891271925539
2008,"Alberta::CCD::0::20::WN-::2008",8,0.711205869289007
2009,"Alberta::CCD::0::20::WN-::2009",8,0.479610384859672
2007,"Alberta::CCD::0::21::WL+::2007",9,0.733800552261888
2008,"Alberta::CCD::0::21::WL+::2008",9,0.521747956838604
2009,"Alberta::CCD::0::21::WL+::2009",8,0.720688207259436
2007,"Alberta::CCD::0::22::CN+::2007",6,0.970483418808516
2008,"Alberta::CCD::0::22::CN+::2008",7,0.859419415404479
2009,"Alberta::CCD::0::22::CN+::2009",8,0.517606028094695
2007,"Alberta::CCD::0::23::WL-::2007",10,0.570081221336818
2008,"Alberta::CCD::0::23::WL-::2008",10,0.752930832681758
2009,"Alberta::CCD::0::23::WL-::2009",9,0.579905927083171
2007,"Alberta::CCD::0::24::WNA::2007",6,0.875978269723556
2008,"Alberta::CCD::0::24::WNA::2008",6,0.775401487749707
2009,"Alberta::CCD::0::24::WNA::2009",4,0.841391502330905
2007,"Alberta::CCD::0::25::CN-::2007",8,0.732249624517424
2008,"Alberta::CCD::0::25::CN-::2008",9,0.773118609642454
2009,"Alberta::CCD::0::25::CN-::2009",7,0.720975360786756
2007,"Alberta::CCD::0::26::WN+::2007",9,0.680103618792903
2008,"Alberta::CCD::0::26::WN+::2008",7,0.70842525866545
2009,"Alberta::CCD::0::26::WN+::2009",7,0.625326167668972
2007,"Alberta::CCD::0::27::WHA::2007",7,0.619125147271492
2008,"Alberta::CCD::0::27::WHA::2008",7,0.565966023062798
2009,"Alberta::CCD::0::27::WHA::2009",4,0.986488155281549
2007,"Alberta::CCD::0::28::WH-::2007",6,0.469751561199929
2008,"Alberta::CCD::0::28::WH-::2008",8,0.657570180351113
2009,"Alberta::CCD::0::28::WH-::2009",5,0.688553478866173
2007,"Alberta::CCD::0::29::WH+::2007",7,0.641908407771021
2008,"Alberta::CCD::0::29::WH+::2008",7,0.709572046380171
2009,"Alberta::CCD::0::29::WH+::2009",6,0.583669128974446
2007,"Alberta::CCD::0::3::WLA::2007",14,0.663774715375891
2008,"Alberta::CCD::0::3::WLA::2008",16,0.596684941243403
2009,"Alberta::CCD::0::3::WLA::2009",11,0.632696562261357
2007,"Alberta::CCD::0::30::CL-::2007",8,0.587518910025463
2008,"Alberta::CCD::0::30::CL-::2008",7,0.897774771549376
2009,"Alberta::CCD::0::30::CL-::2009",7,0.737939146133342
2007,"Alberta::CCD::0::31::CLA::2007",12,0.674148903332341
2008,"Alberta::CCD::0::31::CLA::2008",11,0.679881561694349
2009,"Alberta::CCD::0::31::CLA::2009",11,0.81431809285647
2007,"Alberta::CCD::0::32::CH-::2007",12,0.579488356409525
2008,"Alberta::CCD::0::32::CH-::2008",12,0.680386954461097
