genus_species,species_matched,AccSpeciesID,AccSpeciesName,ObsNum,ObsGRNum,MeasNum,MeasGRNum,TraitNum,match,old
arenaria fendleri,Eremogone fendleri,224309,Eremogone fendleri,164,85,528,357,48,1,Eremogone fendleri
arenaria fendleri,Eremogone fendleri,281416,Arenaria fendleri var. fendleri,1,NA,1,NA,1,1,Eremogone fendleri
artemisia scopulorum,Artemisia scopulorum,65731,Artemisia scopulorum,63,5,218,56,39,1,Artemisia scopulorum
bistorta bistortoides,Bistorta bistortoides,7469,Bistorta bistortoides,105,15,476,177,105,1,Bistorta bistortoides
chionophila jamesii,Chionophila jamesii,78699,Chionophila jamesii,10,3,31,20,19,1,Chionophila jamesii
lewisia pygmaea,Lewisia pygmaea,88402,Lewisia pygmaea,30,5,84,31,32,1,Lewisia pygmaea
luzula spicata,Luzula spicata,34515,Luzula spicata,890,78,2904,186,167,1,Luzula spicata
luzula spicata,Luzula spicata,238936,Luzula spicata subsp. conglomerata,14,14,78,78,9,1,Luzula spicata
luzula spicata,Luzula spicata,238937,Luzula spicata subsp. italica,1,NA,NA,NA,NA,1,Luzula spicata
minuartia obtusiloba,Minuartia obtusiloba,90676,Minuartia obtusiloba,35,2,87,22,21,1,Minuartia obtusiloba
potentilla diversifolia,Potentilla diversifolia,43661,Potentilla diversifolia,33,5,171,31,71,1,Potentilla diversifolia
potentilla diversifolia,Potentilla diversifolia,254561,Potentilla diversifolia var. diversifolia,4,NA,2,NA,1,1,Potentilla diversifolia var. diversifolia
potentilla diversifolia,Potentilla diversifolia,369725,Potentilla diversifolia var. perdissecta,1,NA,1,NA,1,1,Potentilla diversifolia
potentilla diversifolia,Potentilla diversifolia,369726,Potentilla diversifolia var. ranunculus,1,NA,1,NA,1,1,Potentilla diversifolia
ranunculus adoneus,Ranunculus adoneus,45588,Ranunculus adoneus,23,4,81,29,32,1,Ranunculus adoneus
ranunculus adoneus,Ranunculus adoneus,374589,Ranunculus adoneus var. adoneus,1,NA,1,NA,1,1,Ranunculus adoneus
silene acaulis,Silene acaulis,50170,Silene acaulis,1092,189,3295,368,178,1,Silene acaulis
silene acaulis,Silene acaulis,261263,Silene acaulis subsp. bryoides,3,NA,2,NA,2,1,Silene acaulis subsp. bryoides
silene acaulis,Silene acaulis,261264,Silene acaulis var. subacaulescens,2,1,8,7,8,1,Silene acaulis var. subacaulescens
silene acaulis,Silene acaulis,384867,Silene acaulis var. acaulis,1,NA,1,NA,1,1,Silene acaulis
silene acaulis,Silene acaulis,384868,Silene acaulis var. exscapa,1,NA,1,NA,1,1,Silene acaulis var. exscapa
sibbaldia procumbens,Sibbaldia procumbens,50054,Sibbaldia procumbens,1466,370,3894,779,173,1,Sibbaldia procumbens
solidago multiradiata,Solidago multiradiata,50887,Solidago multiradiata,20,4,148,39,62,1,Solidago multiradiata
solidago multiradiata,Solidago multiradiata,263010,Solidago multiradiata var. multiradiata,9,NA,13,NA,4,1,Solidago multiradiata var. multiradiata
solidago multiradiata,Solidago multiradiata,385870,Solidago ciliosa,1,NA,1,NA,1,1,Solidago multiradiata
trisetum spicatum,Trisetum spicatum,55164,Trisetum spicatum,198,16,570,86,136,1,Trisetum spicatum
erigeron simplex,Erigeron grandiflorus,224508,Erigeron grandiflorus,15,3,65,51,37,1,Erigeron grandiflorus
carex rupestris,Carex rupestris,10650,Carex rupestris,302,33,648,90,119,1,Carex rupestris
carex rupestris,Carex rupestris,211838,Carex rupestris var. drummondiana,1,1,11,11,11,1,Carex rupestris
lloydia serotina,Gagea serotina,229171,Gagea serotina,333,80,705,153,129,1,Gagea serotina
lloydia serotina,Gagea serotina,341605,Lloydia serotina var. serotina,1,NA,1,NA,1,1,Gagea serotina
sedum lanceolatum,Sedum lanceolatum,49381,Sedum lanceolatum,47,2,108,22,28,1,Sedum lanceolatum
sedum lanceolatum,Sedum lanceolatum,382608,Sedum lanceolatum subsp. nesioticum,1,NA,1,NA,1,1,Sedum lanceolatum
sedum lanceolatum,Sedum lanceolatum,382609,Sedum lanceolatum subsp. subalpinum,2,NA,2,NA,1,1,Sedum lanceolatum
oreoxis alpina,Cymopterus alpinus,219110,Cymopterus alpinus,60,2,189,29,29,1,Cymopterus alpinus
oreoxis alpina,Cymopterus alpinus,245490,Oreoxis alpina ssp. alpina,2,1,12,11,12,1,Cymopterus alpinus
achillea millefolium,Achillea millefolium,907,Achillea lanulosa,43,30,240,220,41,1,Achillea millefolium
achillea millefolium,Achillea millefolium,909,Achillea millefolium,2877,1085,13326,8339,403,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200527,Achillea millefolium (lanulosa),13,13,13,13,2,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200528,Achillea millefolium subsp. borealis,8,NA,10,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200529,Achillea millefolium subsp. millefolium,42,NA,66,NA,31,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200530,Achillea millefolium subsp. stricta,8,NA,19,NA,10,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200531,Achillea millefolium subsp. sudetica,20,NA,25,NA,13,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200532,Achillea millefolium var. alpicola,1,1,11,11,11,1,Achillea millefolium
achillea millefolium,Achillea millefolium,200533,Achillea millefolium var. millefolium,3,NA,3,NA,2,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272092,Achillea angustissima,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272095,Achillea borealis fo. fusca,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272102,Achillea lanulosa var. eradiata,1,NA,1,NA,1,1,Achillea millefolium
achillea millefolium,Achillea millefolium,272104,Achillea millefolium var. gracilis,1,NA,1,NA,1,1,Achillea millefolium var. gracilis
artemesia frigida,Artemisia austriaca,5168,Artemisia austriaca,277,192,2717,2489,104,1,Artemisia austriaca
betula glandulosa,Betula glandulosa,7335,Betula glandulosa,66,19,281,155,66,1,Betula glandulosa
calamagrostis canadensis,Calamagrostis canadensis,9138,Calamagrostis canadensis,388,319,1465,1209,120,1,Calamagrostis canadensis
castilleja caudata,Castilleja caudata,212161,Castilleja caudata,8,NA,11,NA,4,1,Castilleja caudata
castilleja caudata,Castilleja caudata,294875,Castilleja caudata var. auricoma,1,NA,1,NA,1,1,Castilleja caudata var. auricoma
castilleja caudata,Castilleja caudata,294876,Castilleja caudata var. caudata,1,NA,1,NA,1,1,Castilleja caudata
cornus canadensis,Cornus canadensis,14563,Cornus canadensis,97,51,439,248,93,1,Cornus canadensis
delphinium glaucum,Delphinium glaucum,17158,Delphinium glaucum,18,NA,109,NA,51,1,Delphinium glaucum
empetrum nigrum,Empetrum nigrum,20484,Empetrum nigrum,960,245,2928,1400,306,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223631,Empetrum nigrum ssp. nigrum,2,NA,2,NA,1,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223632,Empetrum nigrum subsp. hermaphroditum,182,80,815,568,105,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223633,Empetrum nigrum subsp. sibiricum,1,NA,1,NA,1,1,Empetrum nigrum
empetrum nigrum,Empetrum nigrum,223634,Empetrum nigrum subsp. subholarcticum,1,1,17,17,14,1,Empetrum nigrum
