OID_,site_code,site_proj_comm,Latitude,Longitude,MAP,MAT,GDiv,ANPP,HumanDisturbance,N_Deposition
1,Alberta,Alberta_CCD_0,53.001238999999998,-111.519684,428,2,40.102847220000001,191.000000000000000,24.9927197,369.6689148
2,ANG,ANG_watering_0,39.738250000000001,-123.6301111,1565,11,42.253206020000000,175.991497100000004,8.9511862,234.5391235
3,ANR,ANR_Fert1_0,65.500000000000000,19.000000000000000,574,-1.4,33.217800930000003,68.000000000000000,4.0964389,349.5115356
4,ANR,ANR_Fert3_0,65.500000000000000,19.000000000000000,574,-1.4,30.125868059999998,68.000000000000000,4.0964389,349.5115356
5,ARC,ARC_MAT2_0,68.628408769999993,-149.590593,224,-11.4,30.376053240000001,185.000000000000000,8,22.2946663
6,ARC,ARC_MNT_0,68.628408769999993,-149.590593,224,-11.4,88.838402790000004,150.000000000000000,8,22.2946663
7,ASGA,ASGA_Exp1_a,42.549593000000002,-85.994617,938,8.6,74.916323320000004,140.658833299999998,9.8543692,977.4589844
8,ASGA,ASGA_clonal_0,42.549593000000002,-85.994617,938,8.6,72.860189039999995,210.906388899999996,9.8543692,977.4589844
9,AZI,AZI_EELplot_0,33.665999999999997,101.849999999999994,670,2,65.871631940000000,337.104399999999998,10.1022835,1045.707642
10,AZI,AZI_NitPhos_0,33.665999999999997,101.849999999999994,670,2,76.313557099999997,459.374480000000005,10.1022835,1045.707642
11,BAY,BAY_LIND_0,49.916666700000000,11.583333300000000,643,8.3,49.369166669999998,647.666666699999951,24.030653,1475.484863
12,Bt,Bt_NutNet_0,49.921944400000001,11.578888900000001,643,8.3,62.617754630000000,149.883925000000005,26.3754444,1475.484863
13,Bt,Bt_DroughtNet_0,49.921944400000001,11.578888900000001,643,8.3,68.089189809999993,288.330600000000004,26.3754444,1475.484863
14,Bt,Bt_EVENT2_0,49.921944400000001,11.578888900000001,643,8.3,53.508306330000003,612.475999999999999,26.3754444,1475.484863
15,Bt,Bt_NPKDNet_0,49.921944400000001,11.578888900000001,643,8.3,87.322013889999994,176.406200000000013,26.3754444,1475.484863
16,BUX,BUX_PQ_0,53.231746999999999,-1.918228,1198,7.8,57.299266979999999,380.000000000000000,39.8053436,691.4129028
