"exp_unit","Cmax","num_codominants","site","block","trt","year","exage","genus_species","relcov","rank"
"AUS_Ag_Biod::K2::G::2005",45.6140350862376,1,"AUS_Ag_Biod","K2","G",2005,5,"Casuarina cristata",54.3859649107098,1
"AUS_Ag_Biod::K2::U::2005",22.4299065512548,1,"AUS_Ag_Biod","K2","U",2005,5,"Atriplex stipitata",41.1214953334064,1
"AUS_Ag_Biod::L1::G::2005",41.6666666683333,1,"AUS_Ag_Biod","L1","G",2005,5,"Casuarina cristata",52.7777777778889,1
"AUS_Ag_Biod::L1::U::2005",15.0474669566306,2,"AUS_Ag_Biod","L1","U",2005,5,"Casuarina cristata",31.8339100348233,1
"AUS_Ag_Biod::L1::U::2005",15.0474669566306,2,"AUS_Ag_Biod","L1","U",2005,5,"Lepidium leptopetalum",22.145328723912,2
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Carrichtera annua",6.99300699277657,7
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Casuarina cristata",11.188811189718,1
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Chenopodium curvispicatum",9.79020979073754,3
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Enchylaena tomentosa",4.19580419587853,9
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Maireana turbinata",8.39160839175705,4
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Olearia muelleri",11.188811189718,2
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Roepera apiculata",8.39160839175705,5
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Sclerolaena obliquicuspis",8.39160839175705,6
"AUS_Ag_Biod::P1::G::2005",4.83887802184314,9,"AUS_Ag_Biod","P1","G",2005,5,"Senna artemisioides",6.29370629381779,8
"AUS_Ag_Biod::P1::U::2005",17.518248180807,2,"AUS_Ag_Biod","P1","U",2005,5,"Atriplex stipitata",26.2773722660444,1
"AUS_Ag_Biod::P1::U::2005",17.518248180807,2,"AUS_Ag_Biod","P1","U",2005,5,"Casuarina cristata",26.2773722660444,2
"AUS_Ag_Biod::W1::G::2005",29.0076335902901,1,"AUS_Ag_Biod","W1","G",2005,5,"Geijera parviflora",45.801526720458,1
"AUS_Ag_Biod::W1::U::2005",7.08356391376365,2,"AUS_Ag_Biod","W1","U",2005,5,"Casuarina cristata",20.1438848895971,1
"AUS_Ag_Biod::W1::U::2005",7.08356391376365,2,"AUS_Ag_Biod","W1","U",2005,5,"Sclerolaena obliquicuspis",17.2661870496547,2
"AUS_Ag_Biod::W2::G::2005",7.5471698107775,1,"AUS_Ag_Biod","W2","G",2005,5,"Casuarina cristata",18.8679245269438,1
"AUS_Ag_Biod::W2::U::2005",18.2481751887226,1,"AUS_Ag_Biod","W2","U",2005,5,"Casuarina cristata",33.5766423376496,1
"AUS_Ag_Biod::W3::G::2005",20.56074766,1,"AUS_Ag_Biod","W3","G",2005,5,"Casuarina cristata",31.77570093,1
"AUS_Ag_Biod::W3::U::2005",18.9655172337533,1,"AUS_Ag_Biod","W3","U",2005,5,"Casuarina cristata",32.7586206844453,1
