genus_species,tnrs_accepted_name,clean_ejf,family_ejf,pathway
Abietinella.abietina,Abietinella abietina,Abietinella abietina,Thuidiaceae,C3
Abronia.fragrans,Abronia fragrans,Abronia fragrans,Nyctaginaceae,C3
Abutilon,Abutilon,Abutilon,Malvaceae,C3
Abutilon otocarpum,Abutilon otocarpum,Abutilon otocarpum,Malvaceae,C3
Abutilon.australo.af,Abutilon australe,Abutilon australe,Malvaceae,C3
Abutilon.austro.africanum,,Abutilon austro-africanum,Malvaceae,C3
Abutilon.mauritianum,Abutilon mauritianum,Abutilon mauritianum,Malvaceae,C3
Abutilon.otocarpum,Abutilon otocarpum,Abutilon otocarpum,Malvaceae,C3
Abutilon.sonneratianum,Abutilon sonneratianum,Abutilon sonneratianum,Malvaceae,C3
Abution.pauciflorum,Abutilon pauciflorum,Abutilon pauciflorum,Malvaceae,C3
Acacia colletioides,Acacia colletioides,Acacia colletioides,Leguminosae,C3
Acacia nigrescens,Senegalia nigrescens,Senegalia nigrescens,Leguminosae,C3
Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Leguminosae,C3
Acacia salicina,Acacia salicina,Acacia salicina,Leguminosae,C3
Acacia sp.,Acacia,Acacia,Leguminosae,C3
Acacia.nigrescens,Senegalia nigrescens,Senegalia nigrescens,Leguminosae,C3
Acacia.schaffneri,Vachellia schaffneri,Acacia schaffneri,Leguminosae,C3
Acacia.sp,Acacia,Acacia,Leguminosae,C3
ACAENA_PINATIFIDA,Acaena pinnatifida,Acaena pinnatifida,Rosaceae,C3
ACAENA_sp,Acaena,Acaena,Rosaceae,C3
ACAENA_SPLENDENS,Acaena splendens,Acaena splendens,Rosaceae,C3
Acaena.caesiiglauca,Acaena caesiglauca,Acaena caesiglauca,Rosaceae,C3
Acaena.echinata,,Acaena echinata,Rosaceae,C3
Acaena.inermis,Acaena inermis,Acaena inermis,Rosaceae,C3
Acaena.novae.zelandiae,Acaena novae-zelandiae,Acaena novae-zelandiae,Rosaceae,C3
Acaena.ovina,,Acaena ovina,Rosaceae,C3
Acaena.spp.,Acaena,Acaena,Rosaceae,C3
Acalypha villicaulis,Acalypha brachiata,Acalypha brachiata,Euphorbiaceae,C3
Acalypha.crenata,Acalypha crenata,Acalypha crenata,Euphorbiaceae,C3
Acalypha.indica,Acalypha indica,Acalypha indica,Euphorbiaceae,C3
Acalypha.segetalis,Acalypha segetalis,Acalypha segetalis,Euphorbiaceae,C3
Acalypha.villicaulis,Acalypha brachiata,Acalypha brachiata,Euphorbiaceae,C3
Acanthospermum.hispidum.,Acanthospermum hispidum,Acanthospermum hispidum,Compositae,C3
Acer.campestris,Acer campestre,Acer campestre,Sapindaceae,C3
Acer.negundo,Acer negundo,Acer negundo,Sapindaceae,C3
Acer.spec.,Acer,Acer,Sapindaceae,C3
Achillea_millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
achillea_millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.lanulosa,Achillea lanulosa,Achillea lanulosa,Compositae,C3
achillea.millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium.agg.,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.millefolium.L..agg.,Achillea millefolium,Achillea millefolium,Compositae,C3
Achillea.sp.,Achillea,Achillea,Compositae,C3
Achnatherum.sibiricum_L._Keng,Stipa sibirica,Stipa sibirica,Poaceae,C3
Achnatherum.splendens,Stipa splendens,Stipa splendens,Poaceae,C3
Achnochloa.granularis..,,Echinochloa granularis,Poaceae,C3
Achyrachaena.mollis,Achyrachaena mollis,Achyrachaena mollis,Compositae,C3
Achyranthes_aspera,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyranthes.aspera,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyranthes.aspera.L.,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,C4?
Achyrocline.satureioides,Achyrocline satureioides,Achyrocline satureioides,Compositae,C3
Achyropsis leptostachya,Achyropsis leptostachya,Achyropsis leptostachya,Amaranthaceae,C3
Achyropsis.leptostachya,Achyropsis leptostachya,Achyropsis leptostachya,Amaranthaceae,C3
Acinos.alpinus,Acinos alpinus,Acinos alpinus,Lamiaceae,C3
Acinos.alpinus..L...Moench,Acinos alpinus,Acinos alpinus,Lamiaceae,C3
Acinos.arvensis,Clinopodium acinos,Clinopodium acinos,Lamiaceae,C3
Acmella.decumbens,Acmella decumbens,Acmella decumbens,Compositae,C3
Acmispon.americanus,Acmispon americanus,Acmispon americanus,Leguminosae,C3
Acmispon.brachycarpus,Acmispon brachycarpus,Acmispon brachycarpus,Leguminosae,C3
Aconitum.napellus.L..agg.,Aconitum napellus,Aconitum napellus,Ranunculaceae,C3
aconogonum,Aconogonum,Aconogonum,Polygonaceae,C3
Acrothamnus.colensoi,,Acrothamnus colensoi,Ericaceae,C3
Actinobole uliginosum,Actinobole uliginosum,Actinobole uliginosum,Compositae,C3
Actinobole.uliginosum,Actinobole uliginosum,Actinobole uliginosum,Compositae,C3
ADENO,,NA,NA,
ADESMIA_BORONIOIDES,Adesmia boronioides,Adesmia boronioides,Leguminosae,C3
ADESMIA_CAMPESTRIS,Adesmia volckmannii,Adesmia volckmannii,Leguminosae,C3
ADESMIA_CORIMBOSA,Adesmia corymbosa,Adesmia corymbosa,Leguminosae,C3
ADESMIA_LOTOIDES,,Adesmia lotoides,Leguminosae,C3
Adesmia.bicolor,Adesmia bicolor,Adesmia bicolor,Leguminosae,C3
Adiantopsis_sp,Adiantopsis,Adiantopsis,Pteridaceae,C3
Adiantopsis.sp.,Adiantopsis,Adiantopsis,Pteridaceae,C3
Aeonium.smithii,Aeonium smithii,Aeonium smithii,Crassulaceae,CAM?
Aeonium.sp.,Aeonium,Aeonium,Crassulaceae,CAM?
Aeonium.urbicum,Aeonium urbicum,Aeonium urbicum,Crassulaceae,CAM?
Aerva.lanata,Aerva lanata,Aerva lanata,Amaranthaceae,C4?
Aerva.leucura,Aerva leucura,Aerva leucura,Amaranthaceae,C4?
AF53,,NA,NA,
Agalinis.comunis,Agalinis comunis,Agalinis comunis,Orobanchaceae,C3
Agathisanthemum.bojeri,Agathisanthemum bojeri,Agathisanthemum bojeri,Rubiaceae,C3
Agenium.vilosum,Agenium villosum,Agenium villosum,Poaceae,C4
Agoseris.glauca,Agoseris glauca,Agoseris glauca,Compositae,C3
Agoseris.heterophylla,Agoseris heterophylla,Agoseris heterophylla,Compositae,C3
Agrimonia.procera,Agrimonia procera,Agrimonia procera,Rosaceae,C3
Agropyron scabrum,Elymus scabrus,Elymus scabrus,Poaceae,C3
agropyron_smithii,Elymus smithii,Elymus smithii,Poaceae,C3
Agropyron.cristatum,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
agropyron.cristatum,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
Agropyron.cristatum_L._Gaertn.,Agropyron cristatum,Agropyron cristatum,Poaceae,C3
Agropyron.repens,Elymus repens,Elymus repens,Poaceae,C3
Agropyron.smithii,Elymus smithii,Elymus smithii,Poaceae,C3
agroseris.glauca,Muhlenbergia glauca,Muhlenbergia glauca,Poaceae,C4
Agrostis_cf..capillaris,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
agrostis_hyemalis,Agrostis hyemalis,Agrostis hyemalis,Poaceae,C3
AGROSTIS_sp,Agrostis,Agrostis,Poaceae,C3
Agrostis.avenacea,Agrostis avenacea,Agrostis avenacea,Poaceae,C3
Agrostis.capillaris,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
Agrostis.capillaris.L.,Agrostis capillaris,Agrostis capillaris,Poaceae,C3
Agrostis.castellana,Agrostis castellana,Agrostis castellana,Poaceae,C3
Agrostis.jurgensis,Agrostis hygrometrica,Agrostis hygrometrica,Poaceae,C3
Agrostis.montevidensis,Agrostis montevidensis,Agrostis montevidensis,Poaceae,C3
Agrostis.pourretii,Agrostis pourretii,Agrostis pourretii,Poaceae,C3
Agrostis.s.l..spp.,Agrostis,Agrostis,Poaceae,C3
Agrostis.sp.,Agrostis,Agrostis,Poaceae,C3
Agrostis.stolonifera,Agrostis stolonifera,Agrostis stolonifera,Poaceae,C3
Agrostis.tandilensis,Agrostis tandilensis,Agrostis tandilensis,Poaceae,C3
Agrostis.vinealis,Agrostis vinealis,Agrostis vinealis,Poaceae,C3
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.caryophyllea.subsp..caryophyllea,Aira caryophyllea,Aira caryophyllea,Poaceae,C3
Aira.sp.,Aira,Aira,Poaceae,C3
Aizoon.canariense,Aizoon canariense,Aizoon canariense,Aizoaceae,C3
Ajania_fruticolosa,Ajania fruticulosa,Ajania fruticulosa,Compositae,C3
Ajania.achilleoides,Ajania achilleoides,Ajania achilleoides,Compositae,C3
Ajania.achilloides,Ajania achilloides,Ajania achilloides,Compositae,C3
Ajuga_lupulina,Ajuga lupulina,Ajuga lupulina,Lamiaceae,C3
Ajuga.genevensis,Ajuga genevensis,Ajuga genevensis,Lamiaceae,C3
Ajuga.iva,Ajuga iva,Ajuga iva,Lamiaceae,C3
Ajuga.pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,C3
Ajuga.pyramidalis.L.,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,C3
Ajuga.reptans,Ajuga reptans,Ajuga reptans,Lamiaceae,C3
Albuca,Albuca,Albuca,Hyacinthaceae,C3
Albuca ,Albuca,Albuca,Hyacinthaceae,C3
Alchemilla.alpina,Alchemilla alpina,Alchemilla alpina,Rosaceae,C3
Alchemilla.spp,Alchemilla,Alchemilla,Rosaceae,C3
Alchemilla.vulgaris,Alchemilla vulgaris,Alchemilla vulgaris,Rosaceae,C3
Alchemilla.xanthochlora.Rothm..agg.,Alchemilla xanthochlora,Alchemilla xanthochlora,Rosaceae,C3
Alectryon oleifolius,Alectryon oleifolius,Alectryon oleifolius,Sapindaceae,C3
alium,Allium,Allium,Amaryllidaceae,C3
Alium.sp.,Allium,Allium,Amaryllidaceae,C3
Allionia_incarnata,Allionia incarnata,Allionia incarnata,Nyctaginaceae,C4?
Allium,Allium,Allium,Amaryllidaceae,C3
allium_canadense,Allium canadense,Allium canadense,Amaryllidaceae,C3
Allium.acuminatum,Allium acuminatum,Allium acuminatum,Amaryllidaceae,C3
Allium.ampeloprasum,Allium ampeloprasum,Allium ampeloprasum,Amaryllidaceae,C3
Allium.anisopodium,Allium anisopodium,Allium anisopodium,Amaryllidaceae,C3
Allium.anisopodium.Ledeb.,Allium anisopodium,Allium anisopodium,Amaryllidaceae,C3
Allium.bidentatum,Allium bidentatum,Allium bidentatum,Amaryllidaceae,C3
allium.cernuum,Allium cernuum,Allium cernuum,Amaryllidaceae,C3
Allium.condensatum.Turcz.,Allium condensatum,Allium condensatum,Amaryllidaceae,C3
Allium.crispum,Allium crispum,Allium crispum,Amaryllidaceae,C3
