"year","exp_unit","richness","Evar"
2002,"Argentina_ElPalmar::A::G::2002",40,0.273675344021097
2002,"Argentina_ElPalmar::A::U::2002",27,0.307791368400747
2002,"Argentina_ElPalmar::B::G::2002",32,0.243715387495457
2002,"Argentina_ElPalmar::B::U::2002",18,0.185676197758499
2002,"Argentina_ElPalmar::C::G::2002",39,0.307665369060374
2002,"Argentina_ElPalmar::C::U::2002",22,0.349424289500073
2002,"Argentina_Glencoe::A::G::2002",57,0.305392906997242
2002,"Argentina_Glencoe::A::U::2002",51,0.306273989195959
2002,"Argentina_Glencoe::B::G::2002",50,0.275088746246828
2002,"Argentina_Glencoe::B::U::2002",25,0.236963850415814
1999,"Argentina_ML::4::G::1999",18,0.286475605654695
1999,"Argentina_ML::4::U::1999",24,0.275876410155975
1999,"Argentina_ML::5::G::1999",20,0.275372370264815
1999,"Argentina_ML::5::U::1999",21,0.273549303867163
1999,"Argentina_ML::A::G::1999",20,0.274338136155629
1999,"Argentina_ML::A::U::1999",22,0.259416560087459
1999,"Argentina_ML::B::G::1999",18,0.30079954898258
1999,"Argentina_ML::B::U::1999",21,0.306673879644735
1999,"Argentina_ML::C::G::1999",22,0.279589982646532
1999,"Argentina_ML::C::U::1999",19,0.368171760528996
2002,"Argentina_Quebrada::A::G::2002",49,0.270156784066665
2002,"Argentina_Quebrada::A::U::2002",49,0.297680049350879
2002,"Argentina_Quebrada::B::G::2002",45,0.260785942658144
2002,"Argentina_Quebrada::B::U::2002",50,0.333764544685703
2002,"Argentina_Relincho::A::G::2002",42,0.329279791023153
2002,"Argentina_Relincho::A::U::2002",36,0.218602853508266
2002,"Argentina_Relincho::B::G::2002",42,0.245641681245683
2002,"Argentina_Relincho::B::U::2002",33,0.238243021510392
2002,"Argentina_Relincho::C::G::2002",39,0.255425622301023
2002,"Argentina_Relincho::C::U::2002",27,0.267484169019277
2002,"Argentina_Relincho::D::G::2002",50,0.26873668777466
2002,"Argentina_Relincho::D::U::2002",9,0.238405175119429
2002,"Argentina_Relincho::E::G::2002",39,0.278660046295651
2002,"Argentina_Relincho::E::U::2002",28,0.26822752027166
2002,"Argentina_Relincho::F::G::2002",36,0.329069999988073
2002,"Argentina_Relincho::F::U::2002",23,0.317584666044635
1999,"Argentina_RMcI84::4::G::1999",17,0.206547872329719
1999,"Argentina_RMcI84::4::U::1999",17,0.208903896578234
1999,"Argentina_RMcI84::5::G::1999",14,0.185850624519639
1999,"Argentina_RMcI84::5::U::1999",16,0.223501225764725
1999,"Argentina_RMcI84::A::G::1999",18,0.194604845865435
1999,"Argentina_RMcI84::A::U::1999",18,0.230608335222606
1999,"Argentina_RMcI84::B::G::1999",16,0.220822222772054
1999,"Argentina_RMcI84::B::U::1999",21,0.244271730648258
1999,"Argentina_RMcI84::C::G::1999",14,0.293122662243002
1999,"Argentina_RMcI84::C::U::1999",16,0.222447681649167
1999,"Argentina_S1::A::G::1999",12,0.331108460059176
1999,"Argentina_S1::A::U::1999",17,0.338644734298366
1999,"Argentina_S1::B::G::1999",10,0.274110911734105
1999,"Argentina_S1::B::U::1999",20,0.230997832358675
1999,"Argentina_S1::C::G::1999",12,0.143686938920375
1999,"Argentina_S1::C::U::1999",14,0.437583466790008
1999,"Argentina_S10::A::G::1999",4,0.17226273912146
1999,"Argentina_S10::A::U::1999",12,0.167239836740731
1999,"Argentina_S10::B::G::1999",3,0.301545155251725
1999,"Argentina_S10::B::U::1999",12,0.227707975799304
1999,"Argentina_S10::C::G::1999",3,0.206931682400921
1999,"Argentina_S10::C::U::1999",10,0.265786532028917
1999,"Argentina_S11::A::G::1999",9,0.409044500855933
1999,"Argentina_S11::A::U::1999",13,0.189963837291016
1999,"Argentina_S11::B::G::1999",10,0.249367633968237
1999,"Argentina_S11::B::U::1999",14,0.32105190688243
1999,"Argentina_S11::C::G::1999",10,0.162866005484932
1999,"Argentina_S11::C::U::1999",9,0.409044500855933
1999,"Argentina_S12::A::G::1999",3,0.643173410640144
1999,"Argentina_S12::A::U::1999",4,0.615231779168202
1999,"Argentina_S12::B::G::1999",3,0.158822991148449
1999,"Argentina_S12::B::U::1999",4,0.326213844560434
1999,"Argentina_S12::C::G::1999",2,0.254280016331712
1999,"Argentina_S12::C::U::1999",6,0.266958838352639
