"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"BRYOPHYTE","","",NA,NA,NA,"","","",FALSE,"1.1","","","BRYOPHYTE","",NA,NA,"","","","",TRUE,FALSE,FALSE,2024-07-10
"CAREX BIGELOWII","CAREX","","bigelowii",NA,NA,"","","kew-224946",TRUE,"1.1","Accepted","Cyperaceae","Carex","","bigelowii","","","Torr. ex Schwein.","kew-224946","Accepted",FALSE,FALSE,FALSE,2024-07-10
"DESCHAMPSIA FLEXUOSA","DESCHAMPSIA","","flexuosa",NA,NA,"","","kew-407693",TRUE,"1.1","Accepted","Poaceae","Deschampsia","","flexuosa","","","(L.) Trin.","kew-407693","Accepted",FALSE,FALSE,FALSE,2024-07-10
"EQUISETUM ARVENSE","EQUISETUM","","arvense",NA,NA,"","","tro-26602003",TRUE,"1.1","Accepted","Equisetaceae","Equisetum","","arvense","","","L.","tro-26602003","Accepted",FALSE,FALSE,FALSE,2024-07-10
"LICHEN","LICHEN","",NA,NA,NA,"","","",FALSE,"1.1","","","LICHEN","",NA,NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"LYSIMACHIA EUROPAEA","LYSIMACHIA","","europaea",NA,NA,"","","kew-2896575",TRUE,"1.1","Accepted","Primulaceae","Lysimachia","","europaea","","","(L.) U.Manns & Anderb.","kew-2896575","Accepted",FALSE,FALSE,FALSE,2024-07-10
"VACCINIUM VITIS-IDAEA","VACCINIUM","","vitis-idaea",NA,NA,"","","kew-2457314",TRUE,"1.1","Accepted","Ericaceae","Vaccinium","","vitis-idaea","","","L.","kew-2457314","Accepted",FALSE,FALSE,FALSE,2024-07-10
"EMPETRUM NIGRUM","EMPETRUM","","nigrum",NA,NA,"","","kew-2788473",TRUE,"1.1","Accepted","Ericaceae","Empetrum","","nigrum","","","L.","kew-2788473","Accepted",FALSE,FALSE,FALSE,2024-07-10
"VACCINIUM ULIGINOSUM","VACCINIUM","","uliginosum",NA,NA,"","","kew-2457998",TRUE,"1.1","Accepted","Ericaceae","Vaccinium","","uliginosum","","","L.","kew-2457998","Accepted",FALSE,FALSE,FALSE,2024-07-10
"EPILOBIUM ANGUSTIFOLIUM","EPILOBIUM","","angustifolium",NA,NA,"","","kew-2790112",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","angustifolium","","","L.","kew-2790112","Accepted",FALSE,FALSE,FALSE,2024-07-10
