"year","exp_unit","richness","Evar"
"2016","abisko.se::1::Control",21,0.281435867036584
"2016","ahth.is::1::Control",13,0.154155058383861
"2017","ahth.is::1::Control",13,0.393473159241129
"2018","ahth.is::1::Control",17,0.177038708810349
"2019","ahth.is::1::Control",18,0.171904283374228
"2016","ahth.is::1::Fence",16,0.162771132332949
"2017","ahth.is::1::Fence",14,0.198319380333771
"2018","ahth.is::1::Fence",20,0.219786447409502
"2019","ahth.is::1::Fence",17,0.129448848355758
"2016","ahth.is::1::K",14,0.159717280252222
"2017","ahth.is::1::K",17,0.297934318005593
"2018","ahth.is::1::K",19,0.201850449680826
"2019","ahth.is::1::K",20,0.136216486338345
"2016","ahth.is::1::N",18,0.152469715942697
"2017","ahth.is::1::N",16,0.155617829800602
"2018","ahth.is::1::N",20,0.177018230379581
"2019","ahth.is::1::N",18,0.121127995927896
"2016","ahth.is::1::NK",12,0.132475626665703
"2017","ahth.is::1::NK",11,0.347137135004155
"2018","ahth.is::1::NK",16,0.32954350082424
"2019","ahth.is::1::NK",19,0.138200095920523
"2016","ahth.is::1::NP",14,0.110819916765853
"2017","ahth.is::1::NP",16,0.14321559808179
"2018","ahth.is::1::NP",19,0.313395215295396
"2019","ahth.is::1::NP",22,0.160998543554165
"2016","ahth.is::1::NPK",11,0.134599546642649
"2017","ahth.is::1::NPK",9,0.231966241460498
"2018","ahth.is::1::NPK",11,0.168454798502966
"2019","ahth.is::1::NPK",12,0.121276256649699
"2016","ahth.is::1::NPK+Fence",15,0.134273593581642
"2017","ahth.is::1::NPK+Fence",12,0.195557312186562
"2018","ahth.is::1::NPK+Fence",14,0.227332252689819
"2019","ahth.is::1::NPK+Fence",12,0.167338017714559
"2016","ahth.is::1::P",14,0.244477993859004
"2017","ahth.is::1::P",15,0.257443333652734
"2018","ahth.is::1::P",20,0.306886938236447
"2019","ahth.is::1::P",25,0.20171734677538
"2016","ahth.is::1::PK",11,0.188514669707153
"2017","ahth.is::1::PK",14,0.151660727566513
"2018","ahth.is::1::PK",14,0.305918948974132
"2019","ahth.is::1::PK",16,0.119323538217586
"2016","ahth.is::2::Control",15,0.130483435881367
"2017","ahth.is::2::Control",14,0.179867443148611
"2018","ahth.is::2::Control",16,0.236385870491714
"2019","ahth.is::2::Control",22,0.132411139322647
"2016","ahth.is::2::Fence",15,0.157376582760273
"2017","ahth.is::2::Fence",14,0.204661368942717
"2018","ahth.is::2::Fence",19,0.225891514115279
"2019","ahth.is::2::Fence",22,0.201473843383685
"2016","ahth.is::2::K",13,0.103051076417123
"2017","ahth.is::2::K",12,0.162682403421487
"2018","ahth.is::2::K",17,0.296720592145511
"2019","ahth.is::2::K",18,0.12697982284867
"2016","ahth.is::2::N",16,0.163610116046394
"2017","ahth.is::2::N",16,0.175789158524097
"2018","ahth.is::2::N",13,0.335738532254703
"2019","ahth.is::2::N",19,0.157334392881627
"2016","ahth.is::2::NK",12,0.178007998175618
"2017","ahth.is::2::NK",9,0.423797812722509
"2018","ahth.is::2::NK",20,0.154931834598323
"2019","ahth.is::2::NK",14,0.131910773675871
"2016","ahth.is::2::NP",15,0.128595136908037
"2017","ahth.is::2::NP",14,0.270303161810012
"2018","ahth.is::2::NP",18,0.15945119589408
"2019","ahth.is::2::NP",17,0.176501549656342
"2016","ahth.is::2::NPK",12,0.182299820441228
"2017","ahth.is::2::NPK",14,0.233554447713481
"2018","ahth.is::2::NPK",17,0.245937461909799
"2019","ahth.is::2::NPK",22,0.167385016257367
"2016","ahth.is::2::NPK+Fence",14,0.244321375211258
"2017","ahth.is::2::NPK+Fence",9,0.261148782307328
"2018","ahth.is::2::NPK+Fence",7,0.232261578437452
"2019","ahth.is::2::NPK+Fence",6,0.113124948785885
"2016","ahth.is::2::P",16,0.15288700730136
"2017","ahth.is::2::P",13,0.251980446627609
"2018","ahth.is::2::P",15,0.146217203219603
"2019","ahth.is::2::P",19,0.155928602586514
"2016","ahth.is::2::PK",13,0.145794831519934
"2017","ahth.is::2::PK",13,0.23511031450872
"2018","ahth.is::2::PK",13,0.215827399984582
"2019","ahth.is::2::PK",15,0.152387025667626
"2016","ahth.is::3::Control",13,0.148917901830385
"2017","ahth.is::3::Control",13,0.218049240439528
"2018","ahth.is::3::Control",19,0.214056174111291
"2019","ahth.is::3::Control",21,0.122666437433981
"2016","ahth.is::3::Fence",10,0.150223611973424
"2017","ahth.is::3::Fence",14,0.125429529277735
"2018","ahth.is::3::Fence",12,0.14714858958583
"2019","ahth.is::3::Fence",15,0.138840680065861
"2016","ahth.is::3::K",13,0.229195393663828
"2017","ahth.is::3::K",14,0.166937509955738
"2018","ahth.is::3::K",18,0.19915530368441
"2019","ahth.is::3::K",20,0.148460975599016
"2016","ahth.is::3::N",13,0.112199641388266
"2017","ahth.is::3::N",10,0.222282406397009
"2018","ahth.is::3::N",13,0.301822531709923
"2019","ahth.is::3::N",14,0.10699175731881
"2016","ahth.is::3::NK",13,0.179337668477215
"2017","ahth.is::3::NK",13,0.171858082482543
"2018","ahth.is::3::NK",19,0.297727193393878
"2019","ahth.is::3::NK",18,0.143950133035547
"2016","ahth.is::3::NP",16,0.195181762367271
"2017","ahth.is::3::NP",15,0.193633846870349
"2018","ahth.is::3::NP",15,0.62441602649745
"2019","ahth.is::3::NP",18,0.162348981980744
"2016","ahth.is::3::NPK",15,0.239302281877673
"2017","ahth.is::3::NPK",12,0.545914933815624
"2018","ahth.is::3::NPK",18,0.208797361969008
"2019","ahth.is::3::NPK",20,0.215818104810309
"2016","ahth.is::3::NPK+Fence",15,0.256648868651799
"2017","ahth.is::3::NPK+Fence",6,0.130626318152168
"2018","ahth.is::3::NPK+Fence",10,0.100324406218137
"2019","ahth.is::3::NPK+Fence",9,0.10381346365865
"2016","ahth.is::3::P",13,0.205806488559049
"2017","ahth.is::3::P",11,0.140913490569
"2018","ahth.is::3::P",14,0.238653598777953
