"year","exp_unit","richness","Evar"
2016,"abisko.se::1::1::Control::2016",7,0.343015862041527
2016,"abisko.se::1::10::Control::2016",9,0.318895992572183
2016,"abisko.se::1::2::Control::2016",9,0.322762380678294
2016,"abisko.se::1::3::Control::2016",12,0.427191340507507
2016,"abisko.se::1::4::Control::2016",13,0.577741045372684
2016,"abisko.se::1::5::Control::2016",9,0.395083059992393
2016,"abisko.se::1::6::Control::2016",8,0.301049113258304
2016,"abisko.se::1::7::Control::2016",9,0.278173040043446
2016,"abisko.se::1::8::Control::2016",9,0.341689270780689
2016,"abisko.se::1::9::Control::2016",9,0.395286851381417
2016,"ahth.is::1::1::Control::2016",13,0.154155058383861
2017,"ahth.is::1::1::Control::2017",13,0.393473159241129
2018,"ahth.is::1::1::Control::2018",17,0.177038708810349
2019,"ahth.is::1::1::Control::2019",18,0.171904283374228
2016,"ahth.is::1::10::PK::2016",11,0.188514669707153
2017,"ahth.is::1::10::PK::2017",14,0.151660727566513
2018,"ahth.is::1::10::PK::2018",14,0.305918948974132
2019,"ahth.is::1::10::PK::2019",16,0.119323538217586
2016,"ahth.is::1::2::Fence::2016",16,0.162771132332949
2017,"ahth.is::1::2::Fence::2017",14,0.198319380333771
2018,"ahth.is::1::2::Fence::2018",20,0.219786447409502
2019,"ahth.is::1::2::Fence::2019",17,0.129448848355758
2016,"ahth.is::1::3::NPK::2016",11,0.134599546642649
2017,"ahth.is::1::3::NPK::2017",9,0.231966241460498
2018,"ahth.is::1::3::NPK::2018",11,0.168454798502966
2019,"ahth.is::1::3::NPK::2019",12,0.121276256649699
2016,"ahth.is::1::4::NPK+Fence::2016",15,0.134273593581642
2017,"ahth.is::1::4::NPK+Fence::2017",12,0.195557312186562
2018,"ahth.is::1::4::NPK+Fence::2018",14,0.227332252689819
2019,"ahth.is::1::4::NPK+Fence::2019",12,0.167338017714559
2016,"ahth.is::1::5::N::2016",18,0.152469715942697
2017,"ahth.is::1::5::N::2017",16,0.155617829800602
