"site_code.x","project_name","community_type","mode_yr","site_proj_comm","OID_","site_code.y","Latitude","Longitude","MAP","MAT","GDiv","ANPP","HumanDisturbance","N_Deposition"
"ANG","watering","0",1,"ANG_watering_0",2,"ANG",39.73825,-123.6301111,1565,11,42.25320602,175.9914971,8.9511862,234.5391235
"ANR","Fert1","0",1,"ANR_Fert1_0",3,"ANR",65.5,19,574,-1.4,33.21780093,68,4.0964389,349.5115356
"ANR","Fert3","0",1,"ANR_Fert3_0",4,"ANR",65.5,19,574,-1.4,30.12586806,68,4.0964389,349.5115356
"ARC","MAT2","0",4,"ARC_MAT2_0",5,"ARC",68.62840877,-149.590593,224,-11.4,30.37605324,185,8,22.2946663
"ARC","MNT","0",1,"ARC_MNT_0",6,"ARC",68.62840877,-149.590593,224,-11.4,88.83840279,150,8,22.2946663
"ASGA","Exp1","a",1,"ASGA_Exp1_a",7,"ASGA",42.549593,-85.994617,938,8.6,74.91632332,140.6588333,9.8543692,977.4589844
"ASGA","clonal","0",1,"ASGA_clonal_0",8,"ASGA",42.549593,-85.994617,938,8.6,72.86018904,210.9063889,9.8543692,977.4589844
"AUS_Ag_Biod","0","0",1,"AUS_Ag_Biod",162,"AUS_Ag_Biod",-34.09,142.5,246,17,58,NA,13.489337,132.2594299
"AUS_Arumpo","0","0",1,"AUS_Arumpo",163,"AUS_Arumpo",-33.94,143.04,245,17.3,30,NA,11.4557295,218.6474762
"AUS_Berry","0","0",4,"AUS_Berry",164,"AUS_Berry",-32.88,148.07,605,17.4,79,NA,14.1273899,291.1624756
"AUS_Birregurra","0","0",1,"AUS_Birregurra",165,"AUS_Birregurra",-38.27,146.69,730,12.7,23,712,10.154952,238.2455902
"AUS_Buronga","0","0",1,"AUS_Buronga",166,"AUS_Buronga",-34.16,142.2,260,17.1,35,NA,20.2203617,132.2594299
"AUS_CYP","0","0",1,"AUS_CYP",168,"AUS_CYP",-34.97,146.48,432,16.3,54,72.5,10.2938433,218.6474762
"AUS_Craigieburn","0","0",1,"AUS_Craigieburn",167,"AUS_Craigieburn",-37.58,144.93,665,13.8,29,349.6,39.3701744,238.2455902
"AUS_Darlington","0","0",1,"AUS_Darlington",169,"AUS_Darlington",-37.88,143.02,620,13.2,29,500,10.3143568,238.2455902
"AUS_FowlersGap","0","0",4,"AUS_FowlersGap",170,"AUS_FowlersGap",-31.07,141.72,223,18.8,53,NA,4.5700755,101.3603973
"AUS_Grampians","0","0",1,"AUS_Grampians",171,"AUS_Grampians",-37.05,142.37,629,13.6,35,43.6,2.8614979,110.819603
"AUS_Hamilton","0","0",1,"AUS_Hamilton",172,"AUS_Hamilton",-37.84,142.08,686,13,22,242,17.0199051,110.819603
"AUS_Hattah","0","0",4,"AUS_Hattah",173,"AUS_Hattah",-34.7,142.3,293,16.7,26,171.2,2.976954,132.2594299
"AUS_Inverleigh","0","0",1,"AUS_Inverleigh",174,"AUS_Inverleigh",-38.08,144.05,523,13.8,18,305.8,11.2627525,238.2455902
"AUS_Kimberley","0","0",3,"AUS_Kimberley",175,"AUS_Kimberley",-32.5,145.61,245,17.7,78,NA,4.2079496,218.6474762
"AUS_Kinypanial","0","0",1,"AUS_Kinypanial",176,"AUS_Kinypanial",-36.32,143.8,409,15.3,34,207.7,15.3402567,218.6474762
"AUS_Mallee","0","0",1,"AUS_Mallee",179,"AUS_Mallee",-34.17,142.46,240,17,15,72.5,6.0680771,132.2594299
"AUS_Murray","0","0",1,"AUS_Murray",180,"AUS_Murray",-34.27,141.82,272,17,12,172.3,11.7611151,132.2594299
"AUS_OBriens","0","0",2,"AUS_OBriens",181,"AUS_OBriens",-36.22,144.42,381,15.4,26,406.6,15.0967417,218.6474762
"AUS_Paradise","0","0",1,"AUS_Paradise",182,"AUS_Paradise",-34.79,144.78,400,16.9,24,NA,18.71978,218.6474762
"AUS_Pinegrove","0","0",1,"AUS_Pinegrove",183,"AUS_Pinegrove",-36.22,144.42,381,15.4,22,161.9,15.0967417,218.6474762
"AUS_Savernake","0","0",1,"AUS_Savernake",184,"AUS_Savernake",-35.79,145.95,475,15.8,67,NA,15.8316002,218.6474762
"AUS_Wapweelah","0","0",1,"AUS_Wapweelah",185,"AUS_Wapweelah",-29.26,145.46,312,20.3,31,NA,4.565588,133.5111542
"AUS_Warrambeen","0","0",1,"AUS_Warrambeen",186,"AUS_Warrambeen",-37.92,143.87,587,13.3,30,943.9,14.1920137,238.2455902
"AUS_Werrai","0","0",3,"AUS_Werrai",187,"AUS_Werrai",-35.35,144.58,375,16.4,21,54.4,4.1388521,218.6474762
"AUS_WilsonsPromontory","0","0",1,"AUS_WilsonsPromontory",188,"AUS_WilsonsPromontory",-38.88,146.23,960,13.6,23,940.8,5.2133589,238.2455902
"AUS_Yathong_large","0","0",2,"AUS_Yathong_large",189,"AUS_Yathong_large",-32.56,145.57,340,17.7,34,NA,8.0139294,218.6474762
"AUS_Yathong_small","0","0",1,"AUS_Yathong_small",190,"AUS_Yathong_small",-32.52,145.59,340,17.7,77,NA,15.0454121,218.6474762
"AZI","EELplot","0",1,"AZI_EELplot_0",9,"AZI",33.666,101.85,670,2,65.87163194,337.1044,10.1022835,1045.707642
"AZI","NitPhos","0",2,"AZI_NitPhos_0",10,"AZI",33.666,101.85,670,2,76.3135571,459.37448,10.1022835,1045.707642
"Alberta","CCD","0",1,"Alberta_CCD_0",1,"Alberta",53.001239,-111.519684,428,2,40.10284722,191,24.9927197,369.6689148
"Argentina_ElPalmar","0","0",3,"Argentina_ElPalmar",132,"Argentina_ElPalmar",-31.87,-58.29,1338,18.3,90,720,11.9039783,533.2081909
"Argentina_Glencoe","0","0",2,"Argentina_Glencoe",133,"Argentina_Glencoe",-32.01,-57.17,1495,18.1,94,650,5.3155875,326.5032349
"Argentina_ML","0","0",1,"Argentina_ML",134,"Argentina_ML",-45.6,-71.44,365,6.3,35,NA,6.7194166,71.6097488
"Argentina_Quebrada","0","0",3,"Argentina_Quebrada",135,"Argentina_Quebrada",-32.91,-54.45,1341,16.6,92,585,9.9924603,326.5032349
"Argentina_RMcI84","0","0",1,"Argentina_RMcI84",137,"Argentina_RMcI84",-45.38,-70.25,199,9.2,31,NA,7.2591062,71.6097488
"Argentina_Relincho","0","0",1,"Argentina_Relincho",136,"Argentina_Relincho",-34.34,-56.98,1155,16.9,91,655,6.3698397,326.5032349
